year	stem	qidx	primary_unit	theme	module	matched_units	competencies	level	note
1989	shanghai	10	圆锥曲线	几何与代数	选择性必修	圆锥曲线	直观想象;数学运算;逻辑推理	水平2-3	
1989	shanghai	11	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1989	shanghai	12	直线与圆	几何与代数	选择性必修	直线与圆	直观想象;数学运算	水平2-3	
1989	shanghai	13	相等关系与不等关系	预备知识	必修	相等关系与不等关系	数学运算;逻辑推理	水平1-2	
1989	shanghai	14	计数原理	概率与统计	选择性必修	计数原理	逻辑推理;数学运算	水平2-3	
1989	shanghai	15	常用逻辑用语	预备知识	必修	常用逻辑用语;复数	逻辑推理;数学抽象;数学运算	水平1-2	
1989	shanghai	16	三角函数	函数	必修	三角函数;函数概念与性质	数学运算;直观想象;数学抽象	水平1-2	
1989	shanghai	17	立体几何初步	几何与代数	必修	立体几何初步;常用逻辑用语;空间向量与立体几何;直线与圆	直观想象;数学运算;逻辑推理;数学抽象	水平1-2	
1989	shanghai	18	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1989	shanghai	19	立体几何初步	几何与代数	必修	立体几何初步;相等关系与不等关系;三角函数;直线与圆	直观想象;数学运算;逻辑推理	水平1-2	
1989	shanghai	20	参数方程与极坐标	几何与代数	选择性必修	参数方程与极坐标;三角函数	数学运算;直观想象	水平2-3	
1989	shanghai	21	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1989	shanghai	22	三角函数	函数	必修	三角函数;幂函数、指数函数、对数函数;函数概念与性质	数学运算;直观想象;数学抽象	水平1-2	
1989	shanghai	23	平面向量	几何与代数	必修	平面向量;空间向量与立体几何;直线与圆	数学运算;直观想象	水平1-2	
1989	shanghai	24	计数原理	概率与统计	选择性必修	计数原理;复数	逻辑推理;数学运算;数学抽象	水平2-3	
1989	shanghai	25	三角函数	函数	必修	三角函数;空间向量与立体几何;直线与圆	数学运算;直观想象	水平1-2	
1989	shanghai	26	集合	预备知识	必修	集合;复数	数学抽象;数学运算	水平1-2	
